buzzword,year,month,interest
blockchain,2017,5,14.0
blockchain,2017,6,17.0
blockchain,2017,7,14.0
blockchain,2017,8,17.0
blockchain,2017,9,20.0
blockchain,2017,10,25.0
blockchain,2017,11,31.0
blockchain,2017,12,51.0
blockchain,2018,1,48.0
blockchain,2018,2,32.0
blockchain,2018,3,29.0
blockchain,2018,4,24.0
blockchain,2018,5,26.0
blockchain,2018,6,23.0
blockchain,2018,7,22.0
blockchain,2018,8,21.0
blockchain,2018,9,22.0
blockchain,2018,10,22.0
blockchain,2018,11,21.0
blockchain,2018,12,16.0
blockchain,2019,1,16.0
blockchain,2019,2,17.0
blockchain,2019,3,16.0
blockchain,2019,4,19.0
blockchain,2019,5,20.0
blockchain,2019,6,19.0
blockchain,2019,7,15.0
blockchain,2019,8,14.0
blockchain,2019,9,15.0
blockchain,2019,10,14.0
blockchain,2019,11,15.0
blockchain,2019,12,13.0
blockchain,2020,1,13.0
blockchain,2020,2,14.0
blockchain,2020,3,12.0
blockchain,2020,4,13.0
blockchain,2020,5,13.0
blockchain,2020,6,13.0
blockchain,2020,7,14.0
blockchain,2020,8,14.0
blockchain,2020,9,12.0
blockchain,2020,10,12.0
blockchain,2020,11,15.0
blockchain,2020,12,15.0
blockchain,2021,1,22.0
blockchain,2021,2,30.0
blockchain,2021,3,26.0
blockchain,2021,4,26.0
blockchain,2021,5,27.0
blockchain,2021,6,20.0
blockchain,2021,7,16.0
blockchain,2021,8,18.0
blockchain,2021,9,20.0
blockchain,2021,10,22.0
blockchain,2021,11,25.0
blockchain,2021,12,23.0
blockchain,2022,1,29.0
blockchain,2022,2,28.0
blockchain,2022,3,26.0
blockchain,2022,4,24.0
blockchain,2022,5,24.0
blockchain,2022,6,20.0
blockchain,2022,7,18.0
blockchain,2022,8,17.0
blockchain,2022,9,18.0
blockchain,2022,10,17.0
blockchain,2022,11,18.0
blockchain,2022,12,15.0
blockchain,2023,1,15.0
blockchain,2023,2,16.0
blockchain,2023,3,15.0
blockchain,2023,4,14.0
blockchain,2023,5,14.0
blockchain,2023,6,14.0
blockchain,2023,7,14.0
blockchain,2023,8,14.0
blockchain,2023,9,14.0
blockchain,2023,10,14.0
blockchain,2023,11,13.0
blockchain,2023,12,14.0
blockchain,2024,1,14.0
blockchain,2024,2,17.0
blockchain,2024,3,19.0
blockchain,2024,4,18.0
blockchain,2024,5,16.0
blockchain,2024,6,15.0
blockchain,2024,7,15.0
blockchain,2024,8,16.0
blockchain,2024,9,16.0
blockchain,2024,10,15.0
blockchain,2024,11,16.0
blockchain,2024,12,18.0
metaverse,2015,1,0.0
metaverse,2015,2,0.0
metaverse,2015,3,0.0
metaverse,2015,4,0.0
metaverse,2015,5,0.0
metaverse,2015,6,0.0
metaverse,2015,7,0.0
metaverse,2015,8,0.0
metaverse,2015,9,0.0
metaverse,2015,10,0.0
metaverse,2015,11,0.0
metaverse,2015,12,0.0
metaverse,2016,1,0.0
metaverse,2016,2,0.0
metaverse,2016,3,0.0
metaverse,2016,4,0.0
metaverse,2016,5,0.0
metaverse,2016,6,0.0
metaverse,2016,7,0.0
metaverse,2016,8,0.0
metaverse,2016,9,0.0
metaverse,2016,10,0.0
metaverse,2016,11,0.0
metaverse,2016,12,0.0
metaverse,2017,1,0.0
metaverse,2017,2,0.0
metaverse,2017,3,0.0
metaverse,2017,4,0.0
metaverse,2017,5,0.0
metaverse,2017,6,0.0
metaverse,2017,7,0.0
metaverse,2017,8,0.0
metaverse,2017,9,0.0
metaverse,2017,10,0.5065040650406504
metaverse,2017,11,0.5065040650406504
metaverse,2017,12,0.0
metaverse,2018,1,0.5065040650406504
metaverse,2018,2,0.0
metaverse,2018,3,0.0
metaverse,2018,4,0.0
metaverse,2018,5,0.0
metaverse,2018,6,0.0
metaverse,2018,7,0.0
metaverse,2018,8,0.0
metaverse,2018,9,0.0
metaverse,2018,10,0.0
metaverse,2018,11,0.0
metaverse,2018,12,0.0
metaverse,2019,1,0.0
metaverse,2019,2,0.0
metaverse,2019,3,0.0
metaverse,2019,4,0.0
metaverse,2019,5,0.0
metaverse,2019,6,0.0
metaverse,2019,7,0.0
metaverse,2019,8,0.0
metaverse,2019,9,0.0
metaverse,2019,10,0.0
metaverse,2019,11,0.0
metaverse,2019,12,0.0
metaverse,2020,1,0.0
metaverse,2020,2,0.0
metaverse,2020,3,0.0
metaverse,2020,4,0.0
metaverse,2020,5,0.0
metaverse,2020,6,0.0
metaverse,2020,7,0.0
metaverse,2020,8,0.0
metaverse,2020,9,0.0
metaverse,2020,10,0.0
metaverse,2020,11,0.0
metaverse,2020,12,0.0
metaverse,2021,1,0.0
metaverse,2021,2,0.5065040650406504
metaverse,2021,3,0.5065040650406504
metaverse,2021,4,2.532520325203252
metaverse,2021,5,2.026016260162601
metaverse,2021,6,0.5065040650406504
metaverse,2021,7,1.0130081300813008
metaverse,2021,8,2.026016260162601
metaverse,2021,9,2.026016260162601
metaverse,2021,10,17.22113821138211
metaverse,2021,11,35.45528455284553
metaverse,2021,12,35.45528455284553
metaverse,2022,1,48.11788617886179
metaverse,2022,2,34.44227642276422
metaverse,2022,3,22.286178861788617
metaverse,2022,4,18.740650406504063
metaverse,2022,5,15.19512195121951
metaverse,2022,6,12.15609756097561
metaverse,2022,7,10.63658536585366
metaverse,2022,8,10.63658536585366
metaverse,2022,9,10.63658536585366
metaverse,2022,10,13.16910569105691
metaverse,2022,11,11.649593495934958
metaverse,2022,12,9.623577235772355
metaverse,2023,1,7.597560975609755
metaverse,2023,2,7.597560975609755
metaverse,2023,3,7.0910569105691055
metaverse,2023,4,5.571544715447154
metaverse,2023,5,5.065040650406504
metaverse,2023,6,4.558536585365854
metaverse,2023,7,4.558536585365854
metaverse,2023,8,3.5455284552845527
metaverse,2023,9,3.5455284552845527
metaverse,2023,10,5.065040650406504
metaverse,2023,11,3.5455284552845527
metaverse,2023,12,3.0390243902439025
metaverse,2024,1,4.052032520325203
metaverse,2024,2,3.0390243902439025
metaverse,2024,3,3.0390243902439025
metaverse,2024,4,3.0390243902439025
metaverse,2024,5,2.532520325203252
metaverse,2024,6,2.532520325203252
metaverse,2024,7,2.532520325203252
metaverse,2024,8,2.532520325203252
metaverse,2024,9,2.026016260162601
metaverse,2024,10,2.026016260162601
metaverse,2024,11,2.026016260162601
metaverse,2024,12,2.026016260162601
edge computing,2015,1,0.0
edge computing,2015,2,0.0
edge computing,2015,3,0.0
edge computing,2015,4,0.0
edge computing,2015,5,0.0
edge computing,2015,6,0.0
edge computing,2015,7,0.0
edge computing,2015,8,0.0
edge computing,2015,9,0.0
edge computing,2015,10,0.0
edge computing,2015,11,0.0
edge computing,2015,12,0.0
edge computing,2016,1,0.0
edge computing,2016,2,0.0
edge computing,2016,3,0.0
edge computing,2016,4,0.0
edge computing,2016,5,0.0
edge computing,2016,6,0.0
edge computing,2016,7,0.0
edge computing,2016,8,0.0
edge computing,2016,9,0.0
edge computing,2016,10,0.0
edge computing,2016,11,0.0
edge computing,2016,12,0.0
edge computing,2017,1,0.0
edge computing,2017,2,0.0
edge computing,2017,3,0.0
edge computing,2017,4,0.0
edge computing,2017,5,0.0
edge computing,2017,6,0.0
edge computing,2017,7,0.0
edge computing,2017,8,0.0
edge computing,2017,9,0.0
edge computing,2017,10,0.0
edge computing,2017,11,0.5065040650406504
edge computing,2017,12,0.0
edge computing,2018,1,0.5065040650406504
edge computing,2018,2,0.5065040650406504
edge computing,2018,3,0.5065040650406504
edge computing,2018,4,0.5065040650406504
edge computing,2018,5,0.5065040650406504
edge computing,2018,6,0.5065040650406504
edge computing,2018,7,0.5065040650406504
edge computing,2018,8,0.5065040650406504
edge computing,2018,9,0.5065040650406504
edge computing,2018,10,0.5065040650406504
edge computing,2018,11,0.5065040650406504
edge computing,2018,12,0.5065040650406504
edge computing,2019,1,0.5065040650406504
edge computing,2019,2,0.5065040650406504
edge computing,2019,3,0.5065040650406504
edge computing,2019,4,0.5065040650406504
edge computing,2019,5,0.5065040650406504
edge computing,2019,6,0.5065040650406504
edge computing,2019,7,0.5065040650406504
edge computing,2019,8,0.5065040650406504
edge computing,2019,9,0.5065040650406504
edge computing,2019,10,0.5065040650406504
edge computing,2019,11,0.5065040650406504
edge computing,2019,12,0.5065040650406504
edge computing,2020,1,0.5065040650406504
edge computing,2020,2,0.5065040650406504
edge computing,2020,3,0.5065040650406504
edge computing,2020,4,0.5065040650406504
edge computing,2020,5,0.5065040650406504
edge computing,2020,6,0.5065040650406504
edge computing,2020,7,0.5065040650406504
edge computing,2020,8,0.5065040650406504
edge computing,2020,9,0.5065040650406504
edge computing,2020,10,0.5065040650406504
edge computing,2020,11,0.5065040650406504
edge computing,2020,12,0.5065040650406504
edge computing,2021,1,0.5065040650406504
edge computing,2021,2,0.5065040650406504
